5.42591E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-73
5.42591E+13,4, eduroam, 1c:aa:07:7b:39:10,-73
5.42591E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-74
5.42591E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-77
5.42591E+13,4, eduroam, 1c:aa:07:7b:37:00,-87
5.42591E+13,4, TUvisitor, 1c:aa:07:7b:37:01,-86
5.42626E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-78
5.42626E+13,4, autosound, 80:ea:96:eb:1e:fc,-84
5.42626E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-68
5.42626E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-75
5.42626E+13,4, eduroam, 1c:aa:07:6e:31:a0,-79
5.42626E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-90
5.42626E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-82
5.42626E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-83
5.42626E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-81
5.42626E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.42626E+13,4, RFID-AP, 00:22:f7:21:d0:38,-81
5.42626E+13,4, sape, 20:c9:d0:18:43:f3,-94
5.42626E+13,4, tudelft-dastud, 1c:aa:07:7b:37:02,-87
5.42626E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-88
5.42626E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-73
5.42626E+13,4, eduroam, 1c:aa:07:7b:39:10,-77
5.42626E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-74
5.42626E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-77
5.42626E+13,4, eduroam, 1c:aa:07:7b:37:00,-87
5.42626E+13,4, TUvisitor, 1c:aa:07:7b:37:01,-86
5.42656E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-78
5.42656E+13,4, autosound, 80:ea:96:eb:1e:fc,-64
5.42656E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-59
5.42656E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-76
5.42656E+13,4, eduroam, 1c:aa:07:6e:31:a0,-72
5.42656E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-80
5.42656E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-73
5.42656E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-73
5.42656E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-73
5.42656E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.42656E+13,4, sape, 20:c9:d0:18:43:f3,-92
5.42656E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-86
5.42656E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-77
5.42656E+13,4, eduroam, 1c:aa:07:7b:39:10,-77
5.42656E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-77
5.42656E+13,4, TUDelft-Event, 1c:aa:07:7b:28:03,-84
5.4269E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-84
5.4269E+13,4, autosound, 80:ea:96:eb:1e:fc,-69
5.4269E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-61
5.4269E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-74
5.4269E+13,4, eduroam, 1c:aa:07:6e:31:a0,-77
5.4269E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-82
5.4269E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-77
5.4269E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.4269E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-77
5.4269E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-76
5.4269E+13,4, sape, 20:c9:d0:18:43:f3,-94
5.4269E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-87
5.4269E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-75
5.4269E+13,4, eduroam, 1c:aa:07:7b:39:10,-74
5.4269E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-75
5.4269E+13,4, TUDelft-Event, 1c:aa:07:7b:28:03,-84
5.4269E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-74
5.4269E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-75
5.4269E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-75
5.4269E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-93
5.42726E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-83
5.42726E+13,4, autosound, 80:ea:96:eb:1e:fc,-75
5.42726E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-69
5.42726E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-77
5.42726E+13,4, eduroam, 1c:aa:07:6e:31:a0,-77
5.42726E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-89
5.42726E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-80
5.42726E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.42726E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-77
5.42726E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-76
5.42726E+13,4, sape, 20:c9:d0:18:43:f3,-96
5.42726E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-87
5.42726E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-75
