5.54729E+13,11, Sitecom25DF30, 64:d1:a3:25:df:30,-90
5.54729E+13,11, Angus, 2e:55:f9:60:43:84,-92
5.54791E+13,11, RFID-AP, 00:22:f7:21:d0:38,-93
5.54791E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.54791E+13,11, Chanturtle, 5e:b5:7d:f6:b1:7d,-87
5.54791E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-84
5.54791E+13,11, eduroam, 1c:aa:07:7b:28:00,-86
5.54791E+13,11, Sitecom25DF30, 64:d1:a3:25:df:30,-90
5.54791E+13,11, Angus, 2e:55:f9:60:43:84,-92
5.54791E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-99
5.54831E+13,11, RFID-AP, 00:22:f7:21:d0:38,-92
5.54831E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.54831E+13,11, eduroam, 1c:aa:07:7b:28:00,-87
5.54831E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-99
5.54863E+13,11, RFID-AP, 00:22:f7:21:d0:38,-96
5.54863E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.54863E+13,11, eduroam, 1c:aa:07:7b:28:00,-87
5.54863E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-87
5.54863E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-88
5.54898E+13,11, RFID-AP, 00:22:f7:21:d0:38,-91
5.54898E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.54898E+13,11, eduroam, 1c:aa:07:7b:28:00,-85
5.54898E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-87
5.54898E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-88
5.54898E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-96
5.54898E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-97
5.54929E+13,11, RFID-AP, 00:22:f7:21:d0:38,-87
5.54929E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.54929E+13,11, eduroam, 1c:aa:07:7b:28:00,-87
5.54929E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.54929E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-97
5.54965E+13,11, RFID-AP, 00:22:f7:21:d0:38,-99
5.54965E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.54965E+13,11, eduroam, 1c:aa:07:7b:28:00,-87
5.54965E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.54997E+13,11, RFID-AP, 00:22:f7:21:d0:38,-99
5.54997E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-90
5.54997E+13,11, eduroam, 1c:aa:07:7b:28:00,-90
