@relation queue_data

@attribute Time numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute 'Slope X' numeric
@attribute 'Slope Y' numeric
@attribute 'Slope Z' numeric
@attribute 'Max X' numeric
@attribute 'Max Y' numeric
@attribute 'Max Z' numeric
@attribute 'Min X' numeric
@attribute 'Min Y' numeric
@attribute 'Min Z' numeric
@attribute 'Diff X' numeric
@attribute 'Diff Y' numeric
@attribute 'Diff Z' numeric
@attribute TruthValue numeric

@data
1430660000000,-0.411803,-9.56723,1.637634,0.000408,-0.000045,-0.000226,-0.23942,-9.548077,1.733402,-0.411803,-9.576807,1.532289,0.172383,0.02873,0.201113,1
1430660000000,-0.354342,-9.576807,1.532289,0.000046,-0.000115,-0.000069,-0.23942,-9.528923,1.733402,-0.373495,-9.576807,1.532289,0.134075,0.047884,0.201113,1
1430660000000,-0.23942,-9.548077,1.733402,0.000444,-0.000023,0.00042,-0.23942,-9.528923,1.733402,-0.42138,-9.548077,1.56102,0.181959,0.019154,0.172383,1
1430660000000,-0.373495,-9.528923,1.56102,0.000308,0.000142,-0.000047,-0.373495,-9.528923,1.580173,-0.497994,-9.586384,1.56102,0.124498,0.057461,0.019154,1
1430660000000,-0.42138,-9.5385,1.56102,0.000048,0.000048,0.000143,-0.402226,-9.5385,1.580173,-0.497994,-9.586384,1.503559,0.095768,0.047884,0.076615,1
1430660000000,-0.497994,-9.586384,1.580173,0.000356,-0.000024,0.000261,-0.354342,-9.557653,1.580173,-0.497994,-9.586384,1.474828,0.143652,0.028731,0.105345,1
1430660000000,-0.402226,-9.557653,1.503559,0.000216,0.000096,0.000216,-0.316035,-9.557653,1.503559,-0.402226,-9.595961,1.417368,0.086191,0.038308,0.086191,1
1430660000000,-0.354342,-9.576807,1.474828,0.000145,0,0.000193,-0.296881,-9.576807,1.474828,-0.354342,-9.595961,1.398214,0.057461,0.019154,0.076615,1
1430660000000,-0.316035,-9.595961,1.417368,0.000143,-0.000048,0.000119,-0.258574,-9.576807,1.417368,-0.316035,-9.595961,1.369483,0.057461,0.019154,0.047884,1
1430660000000,-0.296881,-9.576807,1.398214,0.000119,0.000024,-0.000095,-0.258574,-9.576807,1.436521,-0.344765,-9.586384,1.369483,0.086191,0.009577,0.067038,1
1430660000000,-0.258574,-9.576807,1.369483,0.000289,-0.000024,-0.000241,-0.258574,-9.56723,1.465251,-0.373495,-9.586384,1.369483,0.114922,0.019154,0.095768,1
1430660000000,-0.344765,-9.586384,1.436521,0.000164,-0.000047,-0.000094,-0.344765,-9.56723,1.474828,-0.411803,-9.586384,1.436521,0.067038,0.019154,0.038307,1
1430660000000,-0.373495,-9.56723,1.465251,0.000093,0,0.000047,-0.335188,-9.56723,1.474828,-0.411803,-9.56723,1.446098,0.076614,0,0.02873,1
1430660000000,-0.411803,-9.56723,1.474828,0.000239,0.000024,0.000048,-0.316035,-9.56723,1.474828,-0.411803,-9.576807,1.446098,0.095768,0.009577,0.02873,1
1430660000000,-0.335188,-9.56723,1.446098,0.000046,0.000023,-0.00007,-0.316035,-9.56723,1.474828,-0.335188,-9.576807,1.446098,0.019154,0.009577,0.02873,1
1430660000000,-0.316035,-9.576807,1.455675,0.000304,-0.000023,-0.00014,-0.316035,-9.56723,1.513135,-0.440533,-9.576807,1.455675,0.124498,0.009577,0.057461,1
1430660000000,-0.316035,-9.576807,1.474828,0.000096,-0.000072,-0.000024,-0.277727,-9.548077,1.513135,-0.440533,-9.576807,1.474828,0.162806,0.02873,0.038307,1
