Time,X,Y,Z,Slope X,Slope Y,Slope Z,Max X,Max Y,Max Z,Min X,Min Y,Min Z,Diff X,Diff Y,Diff Z,TruthValue
1.43E+12,-0.1436521,3.265691,10.199299,0.004896413,0.00261622,0.010416877,3.667917,3.265691,10.199299,-0.1436521,2.0398598,6.042965,3.8115691,1.2258312,4.156334,0
1.43E+12,3.667917,2.0398598,9.787497,0.002202666,-0.003734955,0.003184288,3.667917,3.5338416,9.787497,1.8100165,2.0398598,6.042965,1.8579005,1.4939818,3.744532,0
1.43E+12,1.8100165,2.2218192,6.042965,0.002412113,-0.0031047,-0.005994461,2.7868507,3.5338416,8.513782,0.842759,2.2218192,6.042965,1.9440917,1.3120224,2.470817,0
1.43E+12,2.7868507,3.5338416,8.513782,0.006297404,0.002875418,-0.002257558,2.7868507,3.5338416,9.423578,0.24899697,2.3750482,8.446744,2.53785373,1.1587934,0.976834,0
1.43E+12,0.842759,3.466804,8.446744,0.00237026,0.004836288,-0.001843533,1.7908629,3.466804,9.423578,0.24899697,1.532289,8.446744,1.54186593,1.934515,0.976834,0
1.43E+12,0.24899697,2.3750482,9.423578,0.004993448,0.002122819,-0.003666685,2.231396,2.3750482,10.879252,0.24899697,1.532289,9.184157,1.98239903,0.8427592,1.695095,0
1.43E+12,1.7908629,1.532289,9.184157,0.000550666,0.009481039,-0.00213084,2.231396,1.532289,10.879252,1.7908629,-2.2601264,9.184157,0.4405331,3.7924154,1.695095,0
1.43E+12,2.231396,1.532289,10.879252,0.004070143,0.007445967,0.019656395,3.8594532,1.532289,10.879252,2.0111294,-2.2601264,3.016694,1.8483238,3.7924154,7.862558,0
1.43E+12,2.0111294,-2.2601264,10.036493,0.013215994,0.003974375,0.008882488,7.297527,-1.4460979,10.036493,2.0111294,-3.8498764,3.016694,5.2863976,2.4037785,7.019799,0
1.43E+12,3.8594532,-1.4460979,3.016694,0.010773907,0.003950433,0.003495534,8.169016,-1.4460979,6.483498,3.8594532,-3.8498764,1.6184803,4.3095628,2.4037785,4.8650177,0
1.43E+12,7.297527,-3.8498764,6.483498,0.014187862,-0.000189172,0.016103223,13.043611,-3.0262709,6.483498,7.297527,-3.8498764,-0.038307227,5.746084,0.8236055,6.521805227,0
1.43E+12,8.169016,-3.0262709,1.6184803,0.022744916,0.004668694,0.007637503,13.043611,-3.0262709,1.6184803,-0.92895025,-4.8937483,-1.436521,13.97256125,1.8674774,3.0550013,0
1.43E+12,13.043611,-3.7732618,-0.038307227,0.032003507,0.014886479,-0.015250155,13.043611,-3.7732618,5.985504,-0.92895025,-9.653421,-1.436521,13.97256125,5.8801592,7.422025,0
1.43E+12,-0.92895025,-4.8937483,-1.436521,0.001093134,0.011953185,-0.008246034,0.40222588,-4.8937483,5.985504,-0.92895025,-9.710882,-1.436521,1.33117613,4.8171337,7.422025,0
1.43E+12,0.40222588,-9.653421,5.985504,0.002944868,0.004118028,0.015658079,0.40222588,-9.653421,5.985504,-0.7757214,-11.300632,-0.2777274,1.17794728,1.647211,6.2632314,0
1.43E+12,-0.48841715,-9.710882,1.8866309,0.00041009,-0.003425456,-0.000458336,-0.32561144,-8.350976,2.0685902,-0.7757214,-11.300632,-0.2777274,0.45010996,2.949656,2.3463176,1
1.43E+12,-0.7757214,-11.300632,-0.2777274,0.004776462,-0.002531526,0.000644822,-0.32561144,-8.350976,2.0685902,-2.6910827,-11.300632,-0.5363012,2.36547126,2.949656,2.6048914,1
1.43E+12,-0.32561144,-8.350976,2.0685902,0.003782839,0.000407015,0.003495534,-0.32561144,-8.350976,2.0685902,-2.6910827,-10.28549,-0.5363012,2.36547126,1.934514,2.6048914,1
1.43E+12,-2.6910827,-10.28549,-0.5363012,0.004248358,-0.002136178,-0.005784487,-0.9959879,-8.513782,1.7717092,-2.6910827,-10.28549,-0.5363012,1.6950948,1.771708,2.3080104,1
1.43E+12,-1.8387469,-8.513782,0.6703765,0.001901103,0.001948628,-0.00263778,-0.9959879,-8.513782,1.7717092,-1.8387469,-9.433155,0.6703765,0.842759,0.919373,1.1013327,1
1.43E+12,-0.9959879,-9.433155,1.7717092,0.001651999,2.39E-05,-0.000167594,-0.9959879,-9.299079,1.8387469,-1.6567876,-9.442732,1.733402,0.6607997,0.143653,0.1053449,1
