5.40E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-68
5.40E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-68
5.40E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-75
5.40E+13,3, BALPOL162, 00:16:0a:18:95:0c,-99
5.40E+13,3, sape, 20:c9:d0:18:43:f3,-91
5.40E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-76
5.40E+13,3, RFID-AP, 00:22:f7:21:d0:38,-87
5.40E+13,3, VIP Lounge, 00:16:0a:1d:c1:48,-93
5.40E+13,3, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-94
5.40E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-76
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-81
5.40E+13,3, TUDelft-Event, 54:4a:00:c7:81:b3,-87
5.40E+13,3, SLDE-ä‹¢-2, 5c:96:9d:65:76:8d,-80
5.40E+13,3, autosound, 80:ea:96:eb:1e:fc,-73
5.40E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-65
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-64
5.40E+13,3, eduroam, 1c:aa:07:6e:31:a0,-68
5.40E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-87
5.40E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-75
5.40E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-75
5.40E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.40E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-64
5.40E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-76
5.40E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-75
5.40E+13,3, sape, 20:c9:d0:18:43:f3,-96
5.40E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-77
5.40E+13,3, RFID-AP, 00:22:f7:21:d0:38,-87
5.40E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-78
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-81
5.40E+13,3, TUDelft-Event, 54:4a:00:c7:81:b3,-87
5.40E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-64
5.40E+13,3, eduroam, 1c:aa:07:7b:39:10,-64
5.40E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-81
5.40E+13,3, TUvisitor, 24:01:c7:76:2a:31,-82
5.40E+13,3, SLDE-ä‹¢-2, 5c:96:9d:65:76:8d,-80
5.40E+13,3, autosound, 80:ea:96:eb:1e:fc,-72
5.40E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-73
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-65
5.40E+13,3, eduroam, 1c:aa:07:6e:31:a0,-72
5.40E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-85
5.40E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-72
5.40E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-73
5.40E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.40E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-66
5.40E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-76
5.40E+13,3, sape, 20:c9:d0:18:43:f3,-96
5.40E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-77
5.40E+13,3, RFID-AP, 00:22:f7:21:d0:38,-85
5.40E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-78
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-80
5.40E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-64
5.40E+13,3, eduroam, 1c:aa:07:7b:39:10,-64
5.40E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-82
5.40E+13,3, TUvisitor, 24:01:c7:76:2a:31,-82
5.40E+13,3, mfold-dlink, 00:26:5a:a9:99:46,-92
5.40E+13,3, SLDE-ä‹¢-2, 5c:96:9d:65:76:8d,-85
5.40E+13,3, autosound, 80:ea:96:eb:1e:fc,-78
5.40E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-71
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-65
5.40E+13,3, eduroam, 1c:aa:07:6e:31:a0,-70
5.40E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-86
5.40E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-71
5.40E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-71
5.40E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-66
5.40E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-70
5.40E+13,3, sape, 20:c9:d0:18:43:f3,-96
5.40E+13,3, RFID-AP, 00:22:f7:21:d0:38,-85
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-83
5.40E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-66
5.40E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-84
5.40E+13,3, TUvisitor, 24:01:c7:76:2a:31,-84
5.40E+13,3, mfold-dlink, 00:26:5a:a9:99:46,-92
5.40E+13,3, Sweex LW050v2, 00:16:0a:13:32:b8,-96
46553861255773, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -65
46553861255773, 3, autosound, 80:ea:96:eb:1e:fc, -69
46553861255773, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -77
46553861255773, 3, autosound, 80:ea:96:eb:1e:fd, -85
46553861255773, 3, TUvisitor, 1c:aa:07:7b:39:11, -52
46553861255773, 3, TRIBLER, e0:3f:49:09:d9:98, -77
46553861255773, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -82
46553861255773, 3, RFID-AP, 00:22:f7:21:d0:38, -81
46553861255773, 3, eduroam, 1c:aa:07:7b:39:10, -53
46553861255773, 3, tudelft-dastud, 1c:aa:07:7b:37:02, -79
46553861255773, 3, TUvisitor, 1c:aa:07:7b:39:1e, -80
46553861255773, 3, eduroam, 1c:aa:07:7b:39:1f, -72
46553861255773, 3, tudelft-dastud, 1c:aa:07:b0:7a:b2, -76
46553861255773, 3, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -87
46553861255773, 3, mfold-linksys, 00:25:9c:ca:87:ee, -85
46553861255773, 3, sape, 20:c9:d0:18:43:f3, -86
46553861255773, 3, TUvisitor, 1c:aa:07:6e:31:ae, -78
46553861255773, 3, tudelft-dastud, 1c:aa:07:7b:39:12, -52
46566012665154, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -62
46566012665154, 3, autosound, 80:ea:96:eb:1e:fc, -66
46566012665154, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -82
46566012665154, 3, autosound, 80:ea:96:eb:1e:fd, -83
46566012665154, 3, TUvisitor, 1c:aa:07:7b:39:11, -54
46566012665154, 3, TRIBLER, e0:3f:49:09:d9:98, -81
46566012665154, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -76
46566012665154, 3, RFID-AP, 00:22:f7:21:d0:38, -81
46566012665154, 3, eduroam, 1c:aa:07:7b:39:10, -53
46566012665154, 3, TUvisitor, 1c:aa:07:7b:39:1e, -64
46566012665154, 3, eduroam, 1c:aa:07:7b:39:1f, -72
46566012665154, 3, tudelft-dastud, 1c:aa:07:b0:7a:b2, -76
46566012665154, 3, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -87
46566012665154, 3, mfold-linksys, 00:25:9c:ca:87:ee, -85
46566012665154, 3, sape, 20:c9:d0:18:43:f3, -86
46566012665154, 3, tudelft-dastud, 1c:aa:07:7b:39:12, -54
46566012665154, 3, tudelft-dastud, 1c:aa:07:6e:31:a2, -61
46566012665154, 3, eduroam, 1c:aa:07:6e:31:a0, -64
46566012665154, 3, eduroam, 1c:aa:07:6e:31:af, -70
46566012665154, 3, tudelft-dastud, 1c:aa:07:6e:31:ad, -71
46566012665154, 3, mfold-dlink, 00:26:5a:a9:99:46, -86
46571211148864, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -57
46571211148864, 3, autosound, 80:ea:96:eb:1e:fc, -66
46571211148864, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -80
46571211148864, 3, autosound, 80:ea:96:eb:1e:fd, -79
46571211148864, 3, TUvisitor, 1c:aa:07:7b:39:11, -58
46571211148864, 3, TRIBLER, e0:3f:49:09:d9:98, -76
