13699474838474, 18, TUvisitor, 1c:aa:07:7b:28:0e, -61
13699474838474, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -54
13699474838474, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -80
13699474838474, 18, NaoNet, 00:0c:f6:6c:cf:94, -90
13699474838474, 18, TUvisitor, 1c:aa:07:b0:7d:51, -81
13706312986186, 18, RFID-AP, 00:22:f7:21:d0:38, -71
13706312986186, 18, TUvisitor, 1c:aa:07:7b:28:01, -35
13706312986186, 18, netgostar, ac:7b:a1:de:ba:b6, -77
13706312986186, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -79
13706312986186, 18, , 6c:70:9f:eb:63:a0, -79
13706312986186, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -88
13706312986186, 18, eduroam, 1c:aa:07:7b:28:00, -36
13706312986186, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -35
13706312986186, 18, TUvisitor, 1c:aa:07:7b:28:0e, -61
13706312986186, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -54
13706312986186, 18, TUvisitor, 1c:aa:07:b0:7d:51, -81
13706312986186, 18, eduroam, 1c:aa:07:b0:7d:50, -82
13706312986186, 18, , 6c:70:9f:eb:63:a1, -88
13706312986186, 18, TUvisitor, 1c:aa:07:7b:37:d1, -72
13712858319398, 18, RFID-AP, 00:22:f7:21:d0:38, -70
13712858319398, 18, TUvisitor, 1c:aa:07:7b:28:01, -45
13712858319398, 18, netgostar, ac:7b:a1:de:ba:b6, -80
13712858319398, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -75
13712858319398, 18, , 6c:70:9f:eb:63:a0, -76
13712858319398, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -90
13712858319398, 18, eduroam, 1c:aa:07:7b:28:00, -45
13712858319398, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -45
13712858319398, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -54
13712858319398, 18, eduroam, 1c:aa:07:b0:7d:50, -79
13712858319398, 18, , 6c:70:9f:eb:63:a1, -89
13712858319398, 18, TUvisitor, 1c:aa:07:7b:37:d1, -68
13712858319398, 18, eduroam, 1c:aa:07:7b:28:0f, -52
13712858319398, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -67
13719598037442, 18, RFID-AP, 00:22:f7:21:d0:38, -74
13719598037442, 18, TUvisitor, 1c:aa:07:7b:28:01, -30
13719598037442, 18, netgostar, ac:7b:a1:de:ba:b6, -73
13719598037442, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -75
13719598037442, 18, , 6c:70:9f:eb:63:a0, -78
13719598037442, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -90
13719598037442, 18, eduroam, 1c:aa:07:7b:28:00, -36
13719598037442, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -45
13719598037442, 18, eduroam, 1c:aa:07:b0:7d:50, -79
13719598037442, 18, , 6c:70:9f:eb:63:a1, -89
13719598037442, 18, TUvisitor, 1c:aa:07:7b:37:d1, -68
13719598037442, 18, eduroam, 1c:aa:07:7b:28:0f, -52
13719598037442, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -68
13725588285237, 18, RFID-AP, 00:22:f7:21:d0:38, -70
13725588285237, 18, TUvisitor, 1c:aa:07:7b:28:01, -30
13725588285237, 18, netgostar, ac:7b:a1:de:ba:b6, -82
13725588285237, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -77
13725588285237, 18, , 6c:70:9f:eb:63:a0, -78
13725588285237, 18, eduroam, 1c:aa:07:7b:28:00, -30
13725588285237, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -30
13725588285237, 18, , 6c:70:9f:eb:63:a1, -91
