8706981666970, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -82
8706981666970, 11, TUvisitor, 1c:aa:07:7b:28:01, -79
8706981666970, 11, , 6c:70:9f:eb:63:a0, -83
8706981666970, 11, , 6c:70:9f:eb:63:a1, -92
8706981666970, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -87
8714117230347, 11, RFID-AP, 00:22:f7:21:d0:38, -85
8714117230347, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -86
8714117230347, 11, , 6c:70:9f:eb:63:a0, -84
8714117230347, 11, , 6c:70:9f:eb:63:a1, -92
8718743016474, 11, RFID-AP, 00:22:f7:21:d0:38, -85
8718743016474, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -81
8718743016474, 11, , 6c:70:9f:eb:63:a0, -83
8718743016474, 11, 21888038, c8:d3:a3:16:92:e6, -90
8718743016474, 11, 24 hour party place, 90:94:e4:c6:21:98, -90
8723887770394, 11, RFID-AP, 00:22:f7:21:d0:38, -70
8723887770394, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -76
8723887770394, 11, , 6c:70:9f:eb:63:a0, -78
8723887770394, 11, 21888038, c8:d3:a3:16:92:e6, -90
8723887770394, 11, 24 hour party place, 90:94:e4:c6:21:98, -90
8723887770394, 11, TUvisitor, 1c:aa:07:7b:28:01, -77
8728873785521, 11, RFID-AP, 00:22:f7:21:d0:38, -70
8728873785521, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -76
8728873785521, 11, , 6c:70:9f:eb:63:a0, -78
8728873785521, 11, TUvisitor, 1c:aa:07:7b:28:01, -77
8733639697064, 11, RFID-AP, 00:22:f7:21:d0:38, -76
8733639697064, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -75
8733639697064, 11, , 6c:70:9f:eb:63:a0, -75
8733639697064, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -88
8733639697064, 11, , 6c:70:9f:eb:63:a1, -89
8733639697064, 11, TUvisitor, 1c:aa:07:b0:7d:51, -82
8739706713776, 11, RFID-AP, 00:22:f7:21:d0:38, -72
8739706713776, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -80
8739706713776, 11, , 6c:70:9f:eb:63:a0, -81
8739706713776, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -88
8739706713776, 11, , 6c:70:9f:eb:63:a1, -89
8739706713776, 11, TUvisitor, 1c:aa:07:b0:7d:51, -82
8739706713776, 11, TUvisitor, 1c:aa:07:7b:28:01, -74
8746448346279, 11, RFID-AP, 00:22:f7:21:d0:38, -71
8746448346279, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -83
8746448346279, 11, , 6c:70:9f:eb:63:a0, -83
8746448346279, 11, TUvisitor, 1c:aa:07:7b:28:01, -74
8751711767115, 11, RFID-AP, 00:22:f7:21:d0:38, -71
8751711767115, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -89
8751711767115, 11, , 6c:70:9f:eb:63:a0, -90
8756558686450, 11, RFID-AP, 00:22:f7:21:d0:38, -73
8756558686450, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -89
8756558686450, 11, , 6c:70:9f:eb:63:a0, -91
8756558686450, 11, NaoNet, 00:0c:f6:6c:cf:94, -88
8761121830369, 11, RFID-AP, 00:22:f7:21:d0:38, -76
8761121830369, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -89
8761121830369, 11, , 6c:70:9f:eb:63:a0, -91
8761121830369, 11, NaoNet, 00:0c:f6:6c:cf:94, -88
