6283751568563, 8, sape, 20:c9:d0:18:43:f3, -70
6283751568563, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -76
6283751568563, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -71
6283751568563, 8, autosound, 80:ea:96:eb:1e:fc, -83
6283751568563, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -54
6283751568563, 8, sape, 20:c9:d0:18:43:f4, -86
6283751568563, 8, mfold-dlink, 00:26:5a:a9:99:46, -58
6283751568563, 8, mfold-linksys, 00:25:9c:ca:87:ee, -63
6283751568563, 8, C150BRS4, 00:22:f7:20:a1:98, -74
6283751568563, 8, RFID-AP, 00:22:f7:21:d0:38, -68
6283751568563, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -54
6283751568563, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -73
6283751568563, 8, eduroam, 1c:aa:07:b0:7a:b0, -54
6283751568563, 8, eduroam, 1c:aa:07:b0:7a:bf, -65
6283751568563, 8, eduroam, 1c:aa:07:6f:28:50, -70
6283751568563, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -80
6283751568563, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -66
6283751568563, 8, eduroam, 1c:aa:07:b0:74:c0, -60
6283751568563, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -90
6283751568563, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -66
6283751568563, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -72
6283751568563, 8, CrowdGuest, 6e:a0:63:eb:9f:71, -88
6283751568563, 8, TUvisitor, 1c:aa:07:7b:28:01, -74
6291027362484, 8, sape, 20:c9:d0:18:43:f3, -72
6291027362484, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -72
6291027362484, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -85
6291027362484, 8, autosound, 80:ea:96:eb:1e:fc, -78
6291027362484, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -55
6291027362484, 8, sape, 20:c9:d0:18:43:f4, -82
6291027362484, 8, mfold-dlink, 00:26:5a:a9:99:46, -68
6291027362484, 8, mfold-linksys, 00:25:9c:ca:87:ee, -65
6291027362484, 8, C150BRS4, 00:22:f7:20:a1:98, -70
6291027362484, 8, RFID-AP, 00:22:f7:21:d0:38, -67
6291027362484, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -55
6291027362484, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -73
6291027362484, 8, eduroam, 1c:aa:07:b0:7a:b0, -56
6291027362484, 8, eduroam, 1c:aa:07:b0:7a:bf, -73
6291027362484, 8, eduroam, 1c:aa:07:6f:28:50, -70
6291027362484, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -61
6291027362484, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -90
6291027362484, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -71
6291027362484, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -72
6291027362484, 8, eduroam, 1c:aa:07:b0:80:c0, -76
6291027362484, 8, tudelft-dastud, 1c:aa:07:b0:80:c2, -77
6291027362484, 8, NaoNet, 00:0c:f6:6c:cf:94, -84
6291027362484, 8, TUvisitor, 1c:aa:07:b0:74:c1, -61
6291027362484, 8, TUvisitor, 1c:aa:07:b0:74:ce, -79
6298438161278, 8, sape, 20:c9:d0:18:43:f3, -72
6298438161278, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -72
6298438161278, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -84
6298438161278, 8, autosound, 80:ea:96:eb:1e:fc, -82
6298438161278, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -50
6298438161278, 8, sape, 20:c9:d0:18:43:f4, -81
6298438161278, 8, mfold-dlink, 00:26:5a:a9:99:46, -59
6298438161278, 8, mfold-linksys, 00:25:9c:ca:87:ee, -70
6298438161278, 8, C150BRS4, 00:22:f7:20:a1:98, -72
6298438161278, 8, RFID-AP, 00:22:f7:21:d0:38, -64
6298438161278, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -52
6298438161278, 8, eduroam, 1c:aa:07:b0:7a:b0, -50
6298438161278, 8, eduroam, 1c:aa:07:b0:7a:bf, -70
6298438161278, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -61
6298438161278, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -94
6298438161278, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -71
6298438161278, 8, eduroam, 1c:aa:07:b0:80:c0, -76
6298438161278, 8, tudelft-dastud, 1c:aa:07:b0:80:c2, -77
6298438161278, 8, NaoNet, 00:0c:f6:6c:cf:94, -84
6298438161278, 8, TUvisitor, 1c:aa:07:b0:74:c1, -61
6298438161278, 8, TUvisitor, 1c:aa:07:b0:74:ce, -79
6298438161278, 8, eduroam, 1c:aa:07:b0:74:c0, -60
6298438161278, 8, eduroam, 1c:aa:07:b0:74:cf, -79
6298438161278, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -80
6306050189782, 8, sape, 20:c9:d0:18:43:f3, -68
6306050189782, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -77
6306050189782, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -67
6306050189782, 8, autosound, 80:ea:96:eb:1e:fc, -75
6306050189782, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -49
6306050189782, 8, sape, 20:c9:d0:18:43:f4, -74
6306050189782, 8, mfold-dlink, 00:26:5a:a9:99:46, -64
6306050189782, 8, mfold-linksys, 00:25:9c:ca:87:ee, -70
6306050189782, 8, C150BRS4, 00:22:f7:20:a1:98, -70
6306050189782, 8, RFID-AP, 00:22:f7:21:d0:38, -64
6306050189782, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -54
6306050189782, 8, eduroam, 1c:aa:07:b0:7a:b0, -50
6306050189782, 8, eduroam, 1c:aa:07:b0:7a:bf, -65
6306050189782, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -89
6306050189782, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -66
6306050189782, 8, TUvisitor, 1c:aa:07:b0:74:c1, -67
6306050189782, 8, eduroam, 1c:aa:07:b0:74:c0, -60
6306050189782, 8, eduroam, 1c:aa:07:b0:74:cf, -79
6306050189782, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -80
6306050189782, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -71
6306050189782, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -73
6306050189782, 8, TRIBLER, e0:3f:49:09:d9:98, -81
6315340624453, 8, sape, 20:c9:d0:18:43:f3, -78
6315340624453, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -81
6315340624453, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -71
6315340624453, 8, autosound, 80:ea:96:eb:1e:fc, -75
6315340624453, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -48
6315340624453, 8, sape, 20:c9:d0:18:43:f4, -76
6315340624453, 8, mfold-dlink, 00:26:5a:a9:99:46, -66
6315340624453, 8, C150BRS4, 00:22:f7:20:a1:98, -72
