174036372918, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -63
174036372918, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -67
174036372918, 2, TRIBLER, e0:3f:49:09:d9:9c, -78
174036372918, 2, eduroam, 1c:aa:07:7b:37:00, -77
174036372918, 2, mfold-linksys, 00:25:9c:ca:87:ee, -85
174036372918, 2, TUvisitor, 1c:aa:07:b0:7a:be, -82
174036372918, 2, tudelft-dastud, 1c:aa:07:b0:7c:02, -78
174036372918, 2, tudelft-dastud, 1c:aa:07:6e:31:ad, -69
174036372918, 2, TUvisitor, 1c:aa:07:6e:31:ae, -70
174036372918, 2, eduroam, 1c:aa:07:6e:31:af, -69
174036372918, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -78
174036372918, 2, TUvisitor, 1c:aa:07:7b:39:1e, -72
174036372918, 2, TUvisitor, 1c:aa:07:7b:37:01, -77
174036372918, 2, tudelft-dastud, 1c:aa:07:6e:31:a2, -62
174036372918, 2, eduroam, 1c:aa:07:6e:31:a0, -62
174036372918, 2, eduroam, 24:01:c7:76:2a:30, -79
174036372918, 2, TUvisitor, 1c:aa:07:6e:31:a1, -63
174036372918, 2, tudelft-dastud, 24:01:c7:76:2a:32, -79
177753220837, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -39
177753220837, 2, autosound, 80:ea:96:eb:1e:fc, -59
177753220837, 2, autosound, 80:ea:96:eb:1e:fd, -65
177753220837, 2, eduroam, 1c:aa:07:7b:39:10, -63
177753220837, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -73
177753220837, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -73
177753220837, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -71
177753220837, 2, TRIBLER, e0:3f:49:09:d9:98, -69
177753220837, 2, sape, 20:c9:d0:18:43:f3, -79
177753220837, 2, TUvisitor, 1c:aa:07:7b:39:11, -63
177753220837, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -63
177753220837, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -62
177753220837, 2, TRIBLER, e0:3f:49:09:d9:9c, -78
177753220837, 2, eduroam, 1c:aa:07:7b:37:00, -77
177753220837, 2, mfold-linksys, 00:25:9c:ca:87:ee, -85
177753220837, 2, TUvisitor, 1c:aa:07:b0:7a:be, -82
177753220837, 2, tudelft-dastud, 1c:aa:07:b0:7c:02, -78
177753220837, 2, eduroam, 1c:aa:07:6e:31:af, -77
177753220837, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -78
177753220837, 2, TUvisitor, 1c:aa:07:7b:39:1e, -72
177753220837, 2, TUvisitor, 1c:aa:07:7b:37:01, -77
177753220837, 2, tudelft-dastud, 1c:aa:07:6e:31:a2, -62
177753220837, 2, eduroam, 1c:aa:07:6e:31:a0, -62
177753220837, 2, eduroam, 24:01:c7:76:2a:30, -79
