5.45722E+13,4, eduroam, 1c:aa:07:7b:28:00,-86
5.45722E+13,4, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.45722E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-71
5.45759E+13,4, SLDE-‰ã¢-2, 5c:96:9d:65:76:8d,-77
5.45759E+13,4, autosound, 80:ea:96:eb:1e:fc,-65
5.45759E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-66
5.45759E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-77
5.45759E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-76
5.45759E+13,4, RFID-AP, 00:22:f7:21:d0:38,-84
5.45759E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-76
5.45759E+13,4, sape, 20:c9:d0:18:43:f3,-91
5.45759E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-76
5.45759E+13,4, eduroam, 1c:aa:07:7b:28:00,-86
5.45759E+13,4, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.45759E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-71
5.45759E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-75
5.45759E+13,4, TUDelft-Event, 1c:aa:07:b0:74:c3,-86
5.45759E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-89
5.45759E+13,4, C150BRS4, 00:22:f7:20:a1:98,-95
5.45759E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-96
5.45759E+13,4, Angus, 2e:55:f9:60:43:84,-97
5.45759E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-76
5.45759E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-89
538209471508, 4, hotspot_mike, 60:36:dd:cb:c1:4f, -51
538209471508, 4, autosound, 80:ea:96:eb:1e:fc, -67
538209471508, 4, SLDE-™-2, 5c:96:9d:65:76:8d, -73
538209471508, 4, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -81
538209471508, 4, TRIBLER, e0:3f:49:09:d9:98, -82
538209471508, 4, TUvisitor, 1c:aa:07:7b:39:11, -68
538209471508, 4, TUvisitor, 24:01:c7:76:2a:31, -72
538209471508, 4, NaoNet3, 00:0c:f6:a6:3c:e8, -74
538209471508, 4, tudelft-dastud, 1c:aa:07:7b:37:02, -76
538209471508, 4, autosound, 80:ea:96:eb:1e:fd, -71
538209471508, 4, eduroam, 1c:aa:07:7b:39:10, -60
538209471508, 4, tudelft-dastud, 1c:aa:07:7b:39:12, -60
538209471508, 4, TRIBLER, e0:3f:49:09:d9:9c, -74
538209471508, 4, tudelft-dastud, 1c:aa:07:7b:39:1d, -75
538209471508, 4, eduroam, 1c:aa:07:7b:39:1f, -75
538209471508, 4, eduroam, 1c:aa:07:b0:7a:bf, -79
538209471508, 4, eduroam, 1c:aa:07:b0:80:c0, -79
538209471508, 4, sape, 20:c9:d0:18:43:f3, -88
538209471508, 4, Router_Joost, 48:f8:b3:40:f1:a9, -88
538209471508, 4, eduroam, 1c:aa:07:7b:37:00, -78
538209471508, 4, tudelft-dastud, 24:01:c7:76:2a:32, -80
538209471508, 4, mfold-linksys, 00:25:9c:ca:87:ee, -85
538209471508, 4, , 00:19:aa:76:70:00, -86
538209471508, 4, SANDER, 1c:af:f7:18:0e:4a, -86
538209471508, 4, TUvisitor, 1c:aa:07:b0:7a:b1, -71
538209471508, 4, TUvisitor, 1c:aa:07:7b:37:01, -77
